551.29	1.5207	2.0947e-010	
552.88	1.5206	2.0002e-010	
554.48	1.5205	1.9104e-010	
556.07	1.5204	1.8252e-010	
557.66	1.5204	1.7442e-010	
559.25	1.5203	1.6673e-010	
560.84	1.5202	1.5941e-010	
562.43	1.5201	1.5246e-010	
564.02	1.52	1.4584e-010	
565.61	1.5199	1.3955e-010	
567.2	1.5198	1.3356e-010	
568.79	1.5198	1.2786e-010	
570.38	1.5197	1.2243e-010	
571.97	1.5196	1.1726e-010	
573.57	1.5195	1.1234e-010	
575.16	1.5194	1.0764e-010	
576.75	1.5194	1.0317e-010	
578.34	1.5193	9.891e-011	
579.93	1.5192	9.4846e-011	
581.52	1.5191	9.0969e-011	
583.11	1.519	8.727e-011	
584.7	1.519	8.3741e-011	
586.29	1.5189	8.0373e-011	
587.89	1.5188	7.7157e-011	
589.48	1.5187	7.4086e-011	
591.07	1.5187	7.1153e-011	
592.66	1.5186	6.835e-011	
594.25	1.5185	6.5673e-011	
595.84	1.5185	6.3113e-011	
597.43	1.5184	6.0666e-011	
599.02	1.5183	5.8327e-011	
600.61	1.5182	5.6089e-011	
602.21	1.5182	5.3948e-011	
603.8	1.5181	5.1899e-011	
605.39	1.518	4.9939e-011	
606.98	1.518	4.8062e-011	
608.57	1.5179	4.6265e-011	
610.16	1.5178	4.4544e-011	
611.75	1.5178	4.2896e-011	
613.34	1.5177	4.1316e-011	
614.94	1.5176	3.9803e-011	
616.53	1.5176	3.8352e-011	
618.12	1.5175	3.6961e-011	
619.71	1.5175	3.5628e-011	
621.3	1.5174	3.4348e-011	
622.89	1.5173	3.3122e-011	
624.48	1.5173	3.1944e-011	
626.07	1.5172	3.0815e-011	
627.67	1.5171	2.973e-011	
629.26	1.5171	2.8689e-011	
630.85	1.517	2.769e-011	
632.44	1.517	2.673e-011	
634.03	1.5169	2.5808e-011	
635.62	1.5168	2.4922e-011	
637.21	1.5168	2.4071e-011	
638.8	1.5167	2.3253e-011	
640.4	1.5167	2.2466e-011	
641.99	1.5166	2.171e-011	
643.58	1.5166	2.0983e-011	
645.17	1.5165	2.0283e-011	
646.76	1.5165	1.961e-011	
648.35	1.5164	1.8963e-011	
649.94	1.5163	1.834e-011	
651.53	1.5163	1.774e-011	
653.13	1.5162	1.7163e-011	
654.72	1.5162	1.6607e-011	
656.31	1.5161	1.6072e-011	
657.9	1.5161	1.5557e-011	
659.49	1.516	1.506e-011	
661.08	1.516	1.4582e-011	
662.67	1.5159	1.4121e-011	
664.26	1.5159	1.3676e-011	
665.85	1.5158	1.3248e-011	
667.45	1.5158	1.2835e-011	
669.04	1.5157	1.2437e-011	
670.63	1.5157	1.2053e-011	
672.22	1.5156	1.1682e-011	
673.81	1.5156	1.1325e-011	
675.4	1.5155	1.098e-011	
676.99	1.5155	1.0647e-011	
678.58	1.5154	1.0326e-011	
680.17	1.5154	1.0016e-011	
681.76	1.5153	9.7166e-012	
683.35	1.5153	9.4276e-012	
684.95	1.5152	9.1484e-012	
686.54	1.5152	8.8787e-012	
688.13	1.5152	8.6182e-012	
689.72	1.5151	8.3664e-012	
691.31	1.5151	8.1232e-012	
692.9	1.515	7.8881e-012	
694.49	1.515	7.6608e-012	
696.08	1.5149	7.4411e-012	
697.67	1.5149	7.2286e-012	
699.26	1.5148	7.0232e-012	
700.85	1.5148	6.8245e-012	
702.44	1.5148	6.6323e-012	
704.03	1.5147	6.4463e-012	
705.62	1.5147	6.2664e-012	
707.21	1.5146	6.0923e-012	
708.8	1.5146	5.9237e-012	
710.39	1.5145	5.7606e-012	
711.98	1.5145	5.6027e-012	
713.57	1.5145	5.4497e-012	
715.15	1.5144	5.3016e-012	
716.74	1.5144	5.1582e-012	
718.33	1.5143	5.0193e-012	
719.92	1.5143	4.8847e-012	
721.51	1.5143	4.7543e-012	
723.1	1.5142	4.6279e-012	
724.69	1.5142	4.5055e-012	
726.28	1.5142	4.3868e-012	
727.87	1.5141	4.2717e-012	
729.45	1.5141	4.1601e-012	
731.04	1.514	4.052e-012	
732.63	1.514	3.9471e-012	
734.22	1.514	3.8453e-012	
735.81	1.5139	3.7466e-012	
737.39	1.5139	3.6509e-012	
738.98	1.5139	3.558e-012	
740.57	1.5138	3.4679e-012	
742.16	1.5138	3.3804e-012	
743.74	1.5137	3.2955e-012	
745.33	1.5137	3.2131e-012	
746.92	1.5137	3.1331e-012	
748.5	1.5136	3.0554e-012	
750.09	1.5136	2.98e-012	
751.68	1.5136	2.9068e-012	
753.26	1.5135	2.8356e-012	
754.85	1.5135	2.7665e-012	
756.43	1.5135	2.6994e-012	
758.02	1.5134	2.6342e-012	
759.6	1.5134	2.5708e-012	
761.19	1.5134	2.5092e-012	
762.77	1.5133	2.4493e-012	
764.36	1.5133	2.3911e-012	
765.94	1.5133	2.3346e-012	
767.53	1.5132	2.2796e-012	
769.11	1.5132	2.2261e-012	
770.7	1.5132	2.1741e-012	
772.28	1.5131	2.1235e-012	
773.86	1.5131	2.0743e-012	
775.45	1.5131	2.0265e-012	
777.03	1.5131	1.9799e-012	
778.61	1.513	1.9346e-012	
780.19	1.513	1.8906e-012	
781.78	1.513	1.8477e-012	
783.36	1.5129	1.8059e-012	
784.94	1.5129	1.7653e-012	
786.52	1.5129	1.7258e-012	
788.1	1.5128	1.6873e-012	
789.68	1.5128	1.6498e-012	
791.26	1.5128	1.6133e-012	
792.84	1.5128	1.5777e-012	
794.42	1.5127	1.5431e-012	
796	1.5127	1.5094e-012	
797.58	1.5127	1.4765e-012	
799.16	1.5126	1.4445e-012	
800.74	1.5126	1.4134e-012	
802.32	1.5126	1.383e-012	
803.89	1.5126	1.3534e-012	
805.47	1.5125	1.3245e-012	
807.05	1.5125	1.2964e-012	
808.63	1.5125	1.269e-012	
810.2	1.5124	1.2422e-012	
811.78	1.5124	1.2162e-012	
813.35	1.5124	1.1908e-012	
814.93	1.5124	1.166e-012	
816.5	1.5123	1.1419e-012	
818.08	1.5123	1.1183e-012	
819.65	1.5123	1.0953e-012	
821.23	1.5123	1.0729e-012	
822.8	1.5122	1.051e-012	
824.37	1.5122	1.0297e-012	
825.94	1.5122	1.0089e-012	
827.52	1.5122	9.8853e-013	
829.09	1.5121	9.6871e-013	
830.66	1.5121	9.4935e-013	
832.23	1.5121	9.3046e-013	
833.8	1.5121	9.1202e-013	
835.37	1.512	8.9402e-013	
836.94	1.512	8.7645e-013	
838.51	1.512	8.5929e-013	
840.08	1.512	8.4253e-013	
841.64	1.5119	8.2617e-013	
843.21	1.5119	8.1018e-013	
844.78	1.5119	7.9457e-013	
846.34	1.5119	7.7933e-013	
847.91	1.5118	7.6443e-013	
849.47	1.5118	7.4988e-013	
851.04	1.5118	7.3566e-013	
852.6	1.5118	7.2176e-013	
854.17	1.5118	7.0819e-013	
855.73	1.5117	6.9492e-013	
857.29	1.5117	6.8195e-013	
858.85	1.5117	6.6928e-013	
860.41	1.5117	6.5689e-013	
861.97	1.5116	6.4477e-013	
863.53	1.5116	6.3293e-013	
865.09	1.5116	6.2135e-013	
866.65	1.5116	6.1003e-013	
868.21	1.5116	5.9896e-013	
869.77	1.5115	5.8814e-013	
871.32	1.5115	5.7755e-013	
872.88	1.5115	5.6719e-013	
874.43	1.5115	5.5706e-013	
875.99	1.5114	5.4715e-013	
877.54	1.5114	5.3745e-013	
879.09	1.5114	5.2797e-013	
880.65	1.5114	5.1868e-013	
882.2	1.5114	5.096e-013	
883.75	1.5113	5.0071e-013	
885.3	1.5113	4.9201e-013	
886.85	1.5113	4.835e-013	
888.4	1.5113	4.7517e-013	
889.95	1.5113	4.6701e-013	
891.49	1.5112	4.5902e-013	
893.04	1.5112	4.512e-013	
894.58	1.5112	4.4355e-013	
896.13	1.5112	4.3605e-013	
897.67	1.5112	4.2871e-013	
899.21	1.5111	4.2153e-013	
