621.3	0.081955	4.1958
622.89	0.082258	4.209
624.48	0.082562	4.2223
626.07	0.082866	4.2356
627.67	0.08317	4.2488
629.26	0.083475	4.2621
630.85	0.08378	4.2753
632.44	0.084084	4.2885
634.03	0.084389	4.3017
635.62	0.084693	4.3149
637.21	0.084997	4.328
638.8	0.085301	4.3412
640.4	0.085604	4.3543
641.99	0.085907	4.3675
643.58	0.08621	4.3806
645.17	0.086511	4.3937
646.76	0.086813	4.4068
648.35	0.087113	4.4199
649.94	0.087413	4.433
651.53	0.087711	4.4461
653.13	0.088009	4.4591
654.72	0.088306	4.4722
656.31	0.088602	4.4852
657.9	0.088897	4.4983
659.49	0.089191	4.5113
661.08	0.089483	4.5243
662.67	0.089775	4.5373
664.26	0.090065	4.5503
665.85	0.090354	4.5633
667.45	0.090641	4.5762
669.04	0.090927	4.5892
670.63	0.091212	4.6022
672.22	0.091495	4.6151
673.81	0.091777	4.6281
675.4	0.092057	4.641
676.99	0.092336	4.6539
678.58	0.092613	4.6668
680.17	0.092888	4.6797
681.76	0.093162	4.6926
683.35	0.093435	4.7055
684.95	0.093705	4.7184
686.54	0.093974	4.7313
688.13	0.094241	4.7442
689.72	0.094507	4.757
691.31	0.09477	4.7699
692.9	0.095032	4.7827
694.49	0.095292	4.7956
696.08	0.095551	4.8084
697.67	0.095807	4.8212
699.26	0.096062	4.8341
700.85	0.096315	4.8469
702.44	0.096566	4.8597
704.03	0.096816	4.8725
705.62	0.097063	4.8853
707.21	0.097309	4.8981
708.8	0.097553	4.9109
710.39	0.097795	4.9237
711.98	0.098036	4.9364
713.57	0.098274	4.9492
715.15	0.098511	4.962
716.74	0.098746	4.9747
718.33	0.098979	4.9875
719.92	0.099211	5.0002
721.51	0.09944	5.013
723.1	0.099668	5.0257
724.69	0.099895	5.0384
726.28	0.10012	5.0512
727.87	0.10034	5.0639
729.45	0.10056	5.0766
731.04	0.10078	5.0893
732.63	0.101	5.1021
734.22	0.10122	5.1148
735.81	0.10143	5.1275
737.39	0.10165	5.1402
738.98	0.10186	5.1529
740.57	0.10207	5.1656
742.16	0.10228	5.1782
743.74	0.10248	5.1909
745.33	0.10269	5.2036
746.92	0.10289	5.2163
748.5	0.1031	5.229
750.09	0.1033	5.2416
751.68	0.1035	5.2543
753.26	0.1037	5.267
754.85	0.1039	5.2796
756.43	0.10409	5.2923
758.02	0.10429	5.3049
759.6	0.10449	5.3176
761.19	0.10468	5.3302
762.77	0.10487	5.3429
764.36	0.10506	5.3555
765.94	0.10525	5.3681
767.53	0.10544	5.3808
